"X","y"
"Основные фондовые индексы российского рынка акций на закрытие 23 марта. 
Фондовые индексы	Значение индекса	Изменение в пунктах к предыдущему дню	Изменение в % к предыдущему дню
Индекс РТС, USD	1435.67	-31.95	-2.18
Индекс МосБиржи , RUB	3467.21	-21.86	-0.63
Индекс ММВБ10, RUB	5467.93	-31.96	-0.58
Индекс ММВБ - инновации, RUB	418.04	-1.99	-0.47
Индекс ММВБ - металл и добыча, RUB	10260.28	-93.52	-0.90
Индекс ММВБ - нефть и газ, RUB	8266.31	27.39	0.33
Индекс ММВБ - потреб. сектора, RUB	8773.99	-117.99	-1.33
Индекс ММВБ - телекоммуникации, RUB	2290.22	-15.12	-0.66
Индекс ММВБ - финансы, RUB	10666.52	-151.78	-1.40
Индекс ММВБ - химия и нефтехимия, RUB	21009.68	386.95	1.88
Индекс ММВБ - электроэнергетика, RUB	2228.54	-21.46	-0.95
Индекс ММВБ - металл и добыча, USD	283.50	-7.11	-2.45
Индекс ММВБ - нефть и газ, USD	210.95	-2.63	-1.23
Индекс ММВБ - потреб. сектора, USD	261.21	-7.71	-2.87
Индекс ММВБ - телекоммуникации, USD	92.30	-2.08	-2.20
Индекс ММВБ - транспорт, USD	42.38	-1.03	-2.37
Индекс ММВБ - финансы, USD	243.76	-7.39	-2.94
Индекс ММВБ - химия и нефтехимия, USD	287.98	0.82	0.29
Индекс ММВБ - электроэнергетика, USD	74.26	-1.90	-2.49
Индекс ММВБ - голубых фишек, RUB	22474.24	-126.59	-0.56","Значения фондовых индексов"
"ОСНОВНЫЕ ИНДИКАТОРЫ НА ЗАКРЫТИЕ РЫНКОВ 23.03.2021. 
Индикатор	Значение	Изменение	Значение
за 23.03.2021	в %	за 22.03.2021
Индексы
США
Dow Jones Ind. Avg	32423.15	-0.94	32731.2
S&P 500	3910.52	-0.76	3940.59
Nasdaq Composite	13227.7	-1.12	13377.54
Европа
DAX	14662.02	0.03	14657.21
FTSE(100)	6699.19	-0.4	6726.1
DJ Stoxx 50	3276.26	-0.21	3283.03
Emerging markets
EMBI Global	894.12	0.14	892.87
EMBI+	890.04	0.05	889.57
Евробонды РФ 2030г.	114.61*	0.02	114.582**
MSCI EM	1323.77	-0.94	1336.27
MSCI BRIC	398.561	-1.18	403.312
Россия
Индекс РТС	1467.62*	-0.44	1474.05**
Индекс Мосбиржи	3489.07*	0.4	3475.26**
Кросс-курсы
EUR/USD	1.1849	-0.7	1.1933
GBP/USD	1.3752	-0.81	1.3864
USD/CHF	0.934	1.16	0.9233
USD/JPY	108.59	-0.24	108.85
Процентные ставки
LIBOR 3 мес.	0.1905*	-3.24	0.1969**
EURIBOR 3 мес.	-0.538*	-0.19	-0.539**
MIACR 1 день	4.2732*	2.75	4.1588**
MOSPRIME 1 день	4.56	1.56	4.49
Нефть, газ
Нефть Brent (ICE), $/барр.	60.79	-5.93	64.62
Нефть WTI (NYMEX), $/барр.	57.76	-6.17	61.56
Газ (ICE), пенс/термия	46.67	2.06	45.73
Драгметаллы
Золото (спот)	1726.2	-0.57	1736.15
Платина	1186	0.25	1183
Металлы
Алюминий	2189.65	-2.38	2243
Медь	8979	-1.51	9116.25
Никель	16103.75	-1.93	16420
Официальные курсы ЦБ РФ c 24.03.2021
$/руб.	75.3585	1.01	74.6085
EUR/руб.	89.767	1.25	88.6573
* - данные за 22.03.2021
** - данные за 19.03.2021
Данные на закрытие рынков (или фиксинги) на эту дату.
AGN#$&: BLOOMBERG","Значения фондовых индексов"
"Значения основных фондовых индексов США на закрытие 23 марта. 
23.03.2021
Индексы	Значение	Изменение	Значение
за 23.03	в %	за 22.03
Dow Jones Industrial	32423.15	-0.94	32731.20
NASDAQ Composite	13227.70	-1.12	13377.54
S&P 500 Index	3910.52	-0.76	3940.59
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Значения фондовых индексов"
"Рынок акций РФ к вечеру сохраняет консолидацию в ожидании статистики Минэнерго США, выросли ЛУКОЙЛ и Белуга. Рынок акций РФ к вечеру сохраняет консолидацию в ожидании статистики Минэнерго США, выросли ЛУКОЙЛ и Белуга","Рынок акций РФ"
"Рынок акций РФ днем консолидируется на фоне отскока вверх нефти и рубля, растут ЛУКОЙЛ и Магнит. Рынок акций РФ днем консолидируется на фоне отскока вверх нефти и рубля, растут ЛУКОЙЛ и Магнит","Рынок акций РФ"
"Рынок акций РФ утром замедлил снижение у 3450п по индексу МосБиржи, ряд бумаг вышел в ""плюс"". Рынок акций РФ утром замедлил снижение у 3450п по индексу МосБиржи, ряд бумаг вышел в ""плюс""","Рынок акций РФ"
"Рынок акций РФ открылся снижением индексов МосБиржи и РТС на 0,3-0,6%, лидирует в откате Русал. Рынок акций РФ открылся снижением индексов МосБиржи и РТС на 0,3-0,6%, лидирует в откате Русал","Рынок акций РФ"
"Рынок акций РФ утром в среду продолжит снижение, дальше вероятны попытки коррекции - Интерфакс-ЦЭА. Рынок акций РФ утром в среду продолжит снижение, дальше вероятны попытки коррекции - Интерфакс-ЦЭА","Рынок акций РФ"
"Суд признал законным отказ СК возбудить дело по возможному отравлению Навального. Суд признал законным отказ СК возбудить дело по возможному отравлению Навального","Обстоятельства госпитализации Навального"
"Сибирская транспортная полиция не выявила преступления в обстоятельствах госпитализации Навального - суд. Сибирская транспортная полиция не выявила преступления в обстоятельствах госпитализации Навального - суд","Обстоятельства госпитализации Навального"
"Сибирская транспортная полиция не выявила преступления в госпитализации Навального - суд. Сибирская транспортная полиция не выявила преступления в госпитализации Навального - суд","Обстоятельства госпитализации Навального"
"Кросс-курсы основных мировых валют на 17:01:01. 
17:01:01	22.03.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0092	1.0801	1.3830	1.1917
JPY	108.7700	***	117.4660	150.4090	129.6300
CHF	0.9258	0.8513	***	1.2805	1.1033
GBP	0.7230	0.6648	0.7810	***	0.8617
EUR	0.8391	0.7715	0.9063	1.1605	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы мировых валют"
"Кросс-курсы основных мировых валют на 15:01:01. 
15:01:01	22.03.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0092	1.0813	1.3869	1.1930
JPY	108.7100	***	117.5340	150.7760	129.6900
CHF	0.9249	0.8508	***	1.2828	1.1034
GBP	0.7210	0.6632	0.7795	***	0.8602
EUR	0.8382	0.7711	0.9063	1.1625	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы мировых валют"
"Кросс-курсы основных мировых валют на 13:01:02. 
13:01:02	22.03.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0092	1.0790	1.3858	1.1900
JPY	108.6600	***	117.2500	150.5830	129.3100
CHF	0.9269	0.8529	***	1.2843	1.1029
GBP	0.7216	0.6641	0.7787	***	0.8587
EUR	0.8403	0.7734	0.9068	1.1645	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы мировых валют"
"Кросс-курсы основных мировых валют на 10:01:01. 
10:01:01	22.03.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0092	1.0746	1.3846	1.1882
JPY	108.7600	***	116.8780	150.5970	129.2300
CHF	0.9306	0.8556	***	1.2885	1.1057
GBP	0.7223	0.6640	0.7761	***	0.8581
EUR	0.8416	0.7738	0.9044	1.1653	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы мировых валют"
"Кросс-курсы основных мировых валют на 07:01:01. 
07:01:01	22.03.2021
Валюта	USD	JPY	CHF	GBP	EUR
USD	***	0.0092	1.0761	1.3841	1.1895
JPY	108.7700	***	117.0540	150.5510	129.3800
CHF	0.9293	0.8543	***	1.2862	1.1054
GBP	0.7225	0.6642	0.7775	***	0.8594
EUR	0.8407	0.7729	0.9047	1.1635	***
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы мировых валют"
"Кросс-курсы основных мировых валют и SDR на закрытие 19.03.2021. 
19.03.2021
Валюта	USD	JPY	CHF	GBP	EUR	SDR
USD	***	0.0092	1.0763	1.3872	1.1904	1.3771
JPY	108.8800	***	117.1820	151.0190	129.6200	-
CHF	0.9288	0.8534	***	1.2888	1.1061	-
GBP	0.7210	0.6621	0.7759	***	0.8583	-
EUR	0.8400	0.7715	0.9041	1.1650	***	-
USD - доллар США, JPY - японская иена,
CHF - швейцарский франк, GBP - фунт стерлингов, EUR - евро
SDR (Special Drawing Rights) - специальные права заимствования, курс
подсчитывается МВФ с учетом изменения курсов основных мировых валют
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Кросс-курсы мировых валют"
"США надеются на продуктивную встречу в Москве по Афганистану - госдеп. США надеются на продуктивную встречу в Москве по Афганистану - госдеп","Встреча по Афганистану в Москве"
"В Москве состоится международная встреча по Афганистану. В Москве состоится международная встреча по Афганистану","Встреча по Афганистану в Москве"
"Делегация Кабула намерена обсудить в Москве с талибами вопросы урегулирования в Афганистане. Делегация Кабула намерена обсудить в Москве с талибами вопросы урегулирования в Афганистане","Встреча по Афганистану в Москве"
"Шойгу: Нас тревожат перемещения больших групп террористов в Афганистан. Шойгу: Нас тревожат перемещения больших групп террористов в Афганистан","Встреча по Афганистану в Москве"
"Задержанных в Москве участников форума муниципальных депутатов отпускают из полиции с протоколом. Задержанных в Москве участников форума муниципальных депутатов отпускают из полиции с протоколом","Задержания на форуме муниципальных депутатов"
"Полиция сообщает о задержании порядка 200 человек на форуме в Москве за нарушение санитарно-эпидемиологических требований. Полиция сообщает о задержании порядка 200 человек на форуме в Москве за нарушение санитарно-эпидемиологических требований","Задержания на форуме муниципальных депутатов"
"Задержанным на форуме муниципальным депутатам грозит штраф до 50 тыс. рублей - адвокат. Задержанным на форуме муниципальным депутатам грозит штраф до 50 тыс. рублей - адвокат","Задержания на форуме муниципальных депутатов"
"Депутат парламента Петербурга Резник сообщил о своем задержании на форуме муниципальных депутатов в Москве. Депутат парламента Петербурга Резник сообщил о своем задержании на форуме муниципальных депутатов в Москве","Задержания на форуме муниципальных депутатов"
"Несколько участников форума муниципальных депутатов задержаны в Москве. Несколько участников форума муниципальных депутатов задержаны в Москве","Задержания на форуме муниципальных депутатов"
"Бразилия закупит вакцину ""Спутник V"" - бразильский Минздрав. Бразилия закупит вакцину ""Спутник V"" - бразильский Минздрав","Вакцина от COVID-19"
"В ВОЗ внесли вакцину Johnson & Johnson в список для экстренного применения. В ВОЗ внесли вакцину Johnson & Johnson в список для экстренного применения","Вакцина от COVID-19"
"Серьезную аллергию и гиперчувствительность нужно добавить в список побочных эффектов вакцины AstraZeneca - EMA. Серьезную аллергию и гиперчувствительность нужно добавить в список побочных эффектов вакцины AstraZeneca - EMA","Вакцина от COVID-19"
"Азербайджан зарегистрировал вакцину ""Sputnik V"". Азербайджан зарегистрировал вакцину ""Sputnik V""","Вакцина от COVID-19"
"ВОЗ не видит причин прекращать использовать вакцину AstraZeneca. ВОЗ не видит причин прекращать использовать вакцину AstraZeneca","Вакцина от COVID-19"
"Регулятор ЮАР начинает оценку эффективности китайской вакцины Sinovac. Регулятор ЮАР начинает оценку эффективности китайской вакцины Sinovac","Вакцина от COVID-19"
"Sanofi приступает к клиническим исследованиям своей второй вакцины от COVID-19. Sanofi приступает к клиническим исследованиям своей второй вакцины от COVID-19","Вакцина от COVID-19"
"Французская Sanofi приступает к клиническим исследованиям своей второй вакцины от COVID-19. Французская Sanofi приступает к клиническим исследованиям своей второй вакцины от COVID-19","Вакцина от COVID-19"
"США обсуждают возможность отправки вакцины AstraZeneca в ЕС и Бразилию - СМИ. США обсуждают возможность отправки вакцины AstraZeneca в ЕС и Бразилию - СМИ","Вакцина от COVID-19"
"США обсуждают возможность отправки миллионов доз вакцины AstraZeneca зарубежным странам - СМИ. США обсуждают возможность отправки миллионов доз вакцины AstraZeneca зарубежным странам - СМИ","Вакцина от COVID-19"
"Таиланд отложил вакцинацию препаратом AstraZeneca в связи с опасениями последствий - Минздрав. Таиланд отложил вакцинацию препаратом AstraZeneca в связи с опасениями последствий - Минздрав","Вакцина от COVID-19"
"Японская компания начинает производство вакцины AstraZeneca. Японская компания начинает производство вакцины AstraZeneca","Вакцина от COVID-19"
"Кабин Таиланда отложил вакцинацию препаратом AstraZeneca в связи с опасениями последствий - Минздрав страны. Кабин Таиланда отложил вакцинацию препаратом AstraZeneca в связи с опасениями последствий - Минздрав страны","Вакцина от COVID-19"
"Минздрав Канады заявил о безопасности вакцины AstraZeneca от COVID-19. Минздрав Канады заявил о безопасности вакцины AstraZeneca от COVID-19","Вакцина от COVID-19"
"Вакцина Novavax на 86% эффективна против британского штамма COVID-19 - исследование. Вакцина Novavax на 86% эффективна против британского штамма COVID-19 - исследование","Вакцина от COVID-19"
"Японская компания объявила о начале производства вакцины AstraZeneca. Японская компания объявила о начале производства вакцины AstraZeneca","Вакцина от COVID-19"
"СИБУР 23 марта досрочно погасит выпуск облигаций 10-й серии на 10 млрд рублей. СИБУР 23 марта досрочно погасит выпуск облигаций 10-й серии на 10 млрд рублей","Рынок российских облигаций"
"Мосбиржа зарегистрировала программу облигаций концерна ""Россиум"" на 100 млрд рублей. Мосбиржа зарегистрировала программу облигаций концерна ""Россиум"" на 100 млрд рублей","Рынок российских облигаций"
"""Русская аквакультура"" установила финальный ориентир ставки 1-го купона облигаций объемом до 3 млрд руб. на уровне 9,5%. ""Русская аквакультура"" установила финальный ориентир ставки 1-го купона облигаций объемом до 3 млрд руб. на уровне 9,5%","Рынок российских облигаций"
"""Брусника. Строительство и девелопмент"" в конце марта - начале апреля проведет сбор заявок на бонды на 5 млрд рублей. ""Брусника. Строительство и девелопмент"" в конце марта - начале апреля проведет сбор заявок на бонды на 5 млрд рублей","Рынок российских облигаций"
"МФК ""КарМани"" установила ставку 43-60-го купонов облигаций БО-001-01 на уровне 14%. МФК ""КарМани"" установила ставку 43-60-го купонов облигаций БО-001-01 на уровне 14%","Рынок российских облигаций"
"Мордовия выплатила 58,4 млн руб. по 18-му купону облигаций 3-й серии. Мордовия выплатила 58,4 млн руб. по 18-му купону облигаций 3-й серии","Рынок российских облигаций"
"""Евроторг"" установил ставку 1-го купона облигаций на 3,5 млрд рублей на уровне 10,35%. ""Евроторг"" установил ставку 1-го купона облигаций на 3,5 млрд рублей на уровне 10,35%","Рынок российских облигаций"
"ПСБ рекомендует держать акции ""Юнипро"" с прогнозной ценой 3,14 руб. ПСБ рекомендует держать акции ""Юнипро"" с прогнозной ценой 3,14 руб","Юнипро"
"Чистая прибыль Юнипро по РСБУ в 2020 г. снизилась на 19,7%, до 15,04 млрд руб.. Чистая прибыль Юнипро по РСБУ в 2020 г. снизилась на 19,7%, до 15,04 млрд руб.","Юнипро"
"Юнипро на данный момент не рассматривает вопрос продажи Березовской ГРЭС - CEO. Юнипро на данный момент не рассматривает вопрос продажи Березовской ГРЭС - CEO","Юнипро"
,"Юнипро"
"Инвестиции в глубокую модернизацию и проекты ВИЭ могут привести к корректировке дивидендов в 2023-24гг - Юнипро. Инвестиции в глубокую модернизацию и проекты ВИЭ могут привести к корректировке дивидендов в 2023-24гг - Юнипро","Юнипро"
"Юнипро планирует начать получать плату за мощность 3-го энергоблока Березовской ГРЭС с апреля 2021г. Юнипро планирует начать получать плату за мощность 3-го энергоблока Березовской ГРЭС с апреля 2021г","Юнипро"
"Юнипро ожидает EBITDA в 2021г на уровне 25-30 млрд руб., в 2022г возможен рост показателя - презентация. Юнипро ожидает EBITDA в 2021г на уровне 25-30 млрд руб., в 2022г возможен рост показателя - презентация","Юнипро"
"Юнипро планирует начать получать плату за мощность 3-го энергоблока Березовой ГРЭС с апреля 2021г. Юнипро планирует начать получать плату за мощность 3-го энергоблока Березовой ГРЭС с апреля 2021г","Юнипро"
,"Юнипро"
"Юнипро планирует выплатить дивиденды в 2021-22гг в размере 20 млрд руб. Юнипро планирует выплатить дивиденды в 2021-22гг в размере 20 млрд руб","Юнипро"
"Юнипро планирует выплатить дивиденды в 2021-22гг в размере 20 млрд руб.. Юнипро планирует выплатить дивиденды в 2021-22гг в размере 20 млрд руб.","Юнипро"
,"Юнипро"
"Uniper подтвердил срок запуска третьего энергоблока Березовский ГРЭС в I полугодии 2021г. Uniper подтвердил срок запуска третьего энергоблока Березовский ГРЭС в I полугодии 2021г","Юнипро"
,"Юнипро"
"США не принципиально, в каком формате проводить переговоры с Ираном по атому - Госдеп. США не принципиально, в каком формате проводить переговоры с Ираном по атому - Госдеп","Сессия Совета МАГАТЭ"
"Инспекторам МАГАТЭ нельзя мешать работать, это не ""разменная монета"" на переговорах - Гросси. Инспекторам МАГАТЭ нельзя мешать работать, это не ""разменная монета"" на переговорах - Гросси","Сессия Совета МАГАТЭ"
"Тегеран предостерег Совет управляющих МАГАТЭ от резолюции против Ирана. Тегеран предостерег Совет управляющих МАГАТЭ от резолюции против Ирана","Сессия Совета МАГАТЭ"
"В Тегеране предостерегли Совет управляющих МАГАТЭ от резолюции против Ирана. В Тегеране предостерегли Совет управляющих МАГАТЭ от резолюции против Ирана","Сессия Совета МАГАТЭ"
"Российский дипломат призвал США и Иран отказаться от обсуждений того, кто должен первый вернуться к СВПД, и действовать синхронно. Российский дипломат призвал США и Иран отказаться от обсуждений того, кто должен первый вернуться к СВПД, и действовать синхронно","Сессия Совета МАГАТЭ"
"Сессия Совета управляющих МАГАТЭ обсудит ядерную программу Ирана. Сессия Совета управляющих МАГАТЭ обсудит ядерную программу Ирана","Сессия Совета МАГАТЭ"
